Date,SONIA
02/13/2020,0.007106
02/12/2020,0.007098
02/11/2020,0.007097
02/10/2020,0.007095
02/07/2020,0.007112
02/06/2020,0.007107
02/05/2020,0.007107
02/04/2020,0.007104
02/03/2020,0.007104
01/31/2020,0.007117
01/30/2020,0.007099
01/29/2020,0.007103
01/28/2020,0.007096
01/27/2020,0.007089
01/24/2020,0.007106
01/23/2020,0.007104
01/22/2020,0.007117
01/21/2020,0.007117
01/20/2020,0.007117
01/17/2020,0.00712
01/16/2020,0.007117
01/15/2020,0.007125
01/14/2020,0.007111
01/13/2020,0.007107
01/10/2020,0.007117
01/09/2020,0.007123
01/08/2020,0.007124
01/07/2020,0.00712
01/06/2020,0.007124
01/03/2020,0.00711
01/02/2020,0.007125
12/31/2019,0.007098
12/30/2019,0.007107
12/27/2019,0.0071
12/24/2019,0.007094
12/23/2019,0.007102
12/20/2019,0.007108
12/19/2019,0.007113
12/18/2019,0.007106
12/17/2019,0.007104
12/16/2019,0.007111
12/13/2019,0.007113
12/12/2019,0.007104
12/11/2019,0.007098
12/10/2019,0.007103
12/09/2019,0.007095
12/06/2019,0.007086
12/05/2019,0.007097
12/04/2019,0.007091
12/03/2019,0.007092
12/02/2019,0.007091
11/29/2019,0.007123
11/28/2019,0.0071
11/27/2019,0.007105
11/26/2019,0.007097
11/25/2019,0.007097
11/22/2019,0.007104
11/21/2019,0.007107
11/20/2019,0.007108
11/19/2019,0.007106
11/18/2019,0.007099
11/15/2019,0.007085
11/14/2019,0.007091
11/13/2019,0.007109
11/12/2019,0.007103
11/11/2019,0.007112
11/08/2019,0.0071
11/07/2019,0.007108
11/06/2019,0.007115
11/05/2019,0.007105
11/04/2019,0.007117
11/01/2019,0.007119
10/31/2019,0.007106
10/30/2019,0.007107
10/29/2019,0.007107
10/28/2019,0.007106
10/25/2019,0.007097
10/24/2019,0.007108
10/23/2019,0.007124
10/22/2019,0.007116
10/21/2019,0.007111
10/18/2019,0.007101
10/17/2019,0.007107
10/16/2019,0.007109
10/15/2019,0.007111
10/14/2019,0.007106
10/11/2019,0.007108
10/10/2019,0.007115
10/09/2019,0.007112
10/08/2019,0.007107
10/07/2019,0.007111
10/04/2019,0.007118
10/03/2019,0.007098
10/02/2019,0.007098
10/01/2019,0.007108
09/30/2019,0.007101
09/27/2019,0.007109
09/26/2019,0.007109
09/25/2019,0.007099
09/24/2019,0.007105
09/23/2019,0.007099
09/20/2019,0.007093
09/19/2019,0.007104
09/18/2019,0.007104
09/17/2019,0.00711
09/16/2019,0.007099
09/13/2019,0.00708
09/12/2019,0.007096
09/11/2019,0.007091
09/10/2019,0.007087
09/09/2019,0.007096
09/06/2019,0.007098
09/05/2019,0.007099
09/04/2019,0.007095
09/03/2019,0.007099
09/02/2019,0.007091
08/30/2019,0.007103
08/29/2019,0.007101
08/28/2019,0.007113
08/27/2019,0.007107
08/23/2019,0.007116
08/22/2019,0.00711
08/21/2019,0.007127
08/20/2019,0.007102
08/19/2019,0.0071
08/16/2019,0.007112
08/15/2019,0.007098
08/14/2019,0.0071
08/13/2019,0.007094
08/12/2019,0.00709
08/09/2019,0.007099
08/08/2019,0.007092
08/07/2019,0.007098
08/06/2019,0.007096
08/05/2019,0.007092
08/02/2019,0.007083
08/01/2019,0.007087
07/31/2019,0.007081
07/30/2019,0.007092
07/29/2019,0.007087
07/26/2019,0.007097
07/25/2019,0.007091
07/24/2019,0.007095
07/23/2019,0.007095
07/22/2019,0.007076
07/19/2019,0.007094
07/18/2019,0.007096
07/17/2019,0.007093
07/16/2019,0.007087
07/15/2019,0.007095
07/12/2019,0.0071
07/11/2019,0.00709
07/10/2019,0.00709
07/09/2019,0.007089
07/08/2019,0.007088
07/05/2019,0.007077
07/04/2019,0.007093
07/03/2019,0.007089
07/02/2019,0.007082
07/01/2019,0.007093
06/28/2019,0.00706
06/27/2019,0.007086
06/26/2019,0.007084
06/25/2019,0.0071
06/24/2019,0.007085
06/21/2019,0.007094
06/20/2019,0.007092
06/19/2019,0.007089
06/18/2019,0.007082
06/17/2019,0.00708
06/14/2019,0.007078
06/13/2019,0.007083
06/12/2019,0.007086
06/11/2019,0.007082
06/10/2019,0.007082
